School,State,Region,SAT-25,SAT-75,ACT-25,ACT-75,Average-GPA,Acceptance-Rate
Michigan-Jewish-Institute,Michigan,Midwest,-1,-1,-1,-1,-1,66%
Carleton-College,Minnesota,Midwest,1390,1550,29,33,-1,21%
Macalester-College,Minnesota,Midwest,1320,1510,29,32,-1,39%
St-Olaf-College,Minnesota,Midwest,1210,1460,26,31,3.62,36%
University-of-Minnesota-Twin-Cities,Minnesota,Midwest,1260,1490,26,31,-1,45%
University-of-Minnesota-Morris,Minnesota,Midwest,1090,1350,22,28,3.62,60%
Hamline-University,Minnesota,Midwest,1070,1360,21,28,3.48,72%
Minneapolis-College-of-Art-and-Design,Minnesota,Midwest,1010,1230,21,27,3.13,66%
Augsburg-College,Minnesota,Midwest,1040,1240,19,25,-1,59%
The-College-of-Saint-Scholastica,Minnesota,Midwest,800,1110,20,26,3.49,61%
Martin-Luther-College,Minnesota,Midwest,-1,-1,22,28,3.49,78%
University-of-St-Thomas,Minnesota,Midwest,1110,1310,24,29,3.55,84%
University-of-Minnesota-Rochester,Minnesota,Midwest,1120,1290,22,26,-1,28%
Crown-College,Minnesota,Midwest,900,1160,19,25,3.36,53%
Bethel-University,Minnesota,Midwest,1080,1420,22,27,3.51,95%
St-Catherine-University,Minnesota,Midwest,1060,1220,19,25,3.61,67%
Winona-State-University,Minnesota,Midwest,550,750,20,25,3.3,62%
Bethany-Lutheran-College,Minnesota,Midwest,1210,1430,20,26,3.33,85%
North-Central-University,Minnesota,Midwest,950,1180,19,25,3.14,54%
Northwestern-College,Minnesota,Midwest,990,1300,21,27,3.51,87%
Saint-Mary's-University-of-Minnesota,Minnesota,Midwest,940,1170,19,26,-1,78%
University-of-Minnesota-Duluth,Minnesota,Midwest,1030,1260,22,26,3.43,76%
Minnesota-State-University-Mankato,Minnesota,Midwest,-1,-1,20,24,-1,67%
Southwest-Minnesota-State-University,Minnesota,Midwest,810,1160,19,24,-1,64%
University-of-Minnesota-Crookston,Minnesota,Midwest,950,1160,19,25,3.16,77%
Minnesota-State-University-Moorhead,Minnesota,Midwest,1010,1160,20,25,-1,77%
Oak-Hills-Christian-College,Minnesota,Midwest,-1,-1,18,21,-1,29%
Saint-Cloud-State-University,Minnesota,Midwest,970,1210,19,25,3.14,86%
Bemidji-State-University,Minnesota,Midwest,-1,-1,19,24,3.1,94%
Concordia-College-at-Moorhead,Minnesota,Midwest,-1,-1,-1,-1,3.62,78%
Concordia-University-Saint-Paul,Minnesota,Midwest,-1,-1,-1,-1,3.02,55%
Gustavus-Adolphus-College,Minnesota,Midwest,-1,-1,-1,-1,3.66,67%
Herzing-University-Minneapolis,Minnesota,Midwest,-1,-1,-1,-1,-1,93%
Crossroads-College,Minnesota,Midwest,-1,-1,-1,-1,-1,79%
Dunwoody-College-of-Technology,Minnesota,Midwest,-1,-1,-1,-1,-1,75%
Millsaps-College,Mississippi,South,1120,1320,23,28,3.55,53%
Mississippi-State-University,Mississippi,South,1040,1320,21,29,3.32,65%
William-Carey-University,Mississippi,South,890,1150,20,27,-1,57%
University-of-Southern-Mississippi,Mississippi,South,970,1190,19,26,3.15,58%
University-of-Mississippi,Mississippi,South,1070,1270,21,28,3.5,79%
Mississippi-College,Mississippi,South,1070,1310,21,27,3.49,82%
Tougaloo-College,Mississippi,South,800,1030,15,20,-1,39%
Rust-College,Mississippi,South,-1,-1,14,18,2.7,41%
Jackson-State-University,Mississippi,South,890,1100,17,21,2.93,68%
Blue-Mountain-College,Mississippi,South,-1,-1,18,24,3.42,99%
Mississippi-University-for-Women,Mississippi,South,1070,1220,18,24,-1,96%
Delta-State-University,Mississippi,South,940,1150,18,23,3.11,87%
Alcorn-State-University,Mississippi,South,860,1060,16,20,2.96,81%
Mississippi-Valley-State-University,Mississippi,South,-1,-1,16,19,2.74,76%
Belhaven-University,Mississippi,South,-1,-1,-1,-1,3.32,51%
Washington-University-in-St-Louis,Missouri,Midwest,1470,1580,32,34,-1,17%
William-Jewell-College,Missouri,Midwest,1070,1320,23,28,3.68,49%
Saint-Louis-University-Main-Campus,Missouri,Midwest,1160,1400,25,31,3.77,63%
Webster-University,Missouri,Midwest,1080,1320,21,27,3.46,56%
Kansas-City-Art-Institute,Missouri,Midwest,1070,1240,20,26,3.21,58%
College-of-the-Ozarks,Missouri,Midwest,1060,1150,21,25,-1,12%
Truman-State-University,Missouri,Midwest,1210,1460,25,30,-1,79%
Rockhurst-University,Missouri,Midwest,1090,1280,23,28,3.67,74%
Maryville-University-of-Saint-Louis,Missouri,Midwest,-1,-1,23,27,3.7,72%
University-of-Missouri-Columbia,Missouri,Midwest,1130,1360,24,29,-1,78%
Westminster-College,Missouri,Midwest,1050,1230,21,26,3.44,64%
University-of-Missouri-Kansas-City,Missouri,Midwest,1110,1440,21,28,3.31,63%
Central-Christian-College-of-the-Bible,Missouri,Midwest,850,1240,16,26,-1,35%
Missouri-University-of-Science-and-Technology,Missouri,Midwest,1140,1360,25,31,3.6,88%
Evangel-University,Missouri,Midwest,990,1240,20,26,-1,61%
Lindenwood-University,Missouri,Midwest,960,1160,20,25,3.2,55%
Central-Methodist-University-College-of-Liberal-Arts-&-Sciences,Missouri,Midwest,930,1130,20,25,3.42,58%
Drury-University,Missouri,Midwest,-1,-1,23,29,3.7,84%
University-of-Missouri-St-Louis,Missouri,Midwest,-1,-1,21,27,3.46,76%
William-Woods-University,Missouri,Midwest,960,1160,19,26,3.5,73%
Avila-University,Missouri,Midwest,940,1120,18,24,3.25,51%
St-Louis-College-of-Pharmacy,Missouri,Midwest,1110,1320,24,29,3.74,68%
Missouri-State-University-Springfield,Missouri,Midwest,1030,1290,21,26,3.58,86%
Saint-Louis-Christian-College,Missouri,Midwest,-1,-1,18,24,2.76,36%
Northwest-Missouri-State-University,Missouri,Midwest,930,1170,20,25,3.36,75%
Culver-Stockton-College,Missouri,Midwest,910,1130,18,23,3.15,56%
Southwest-Baptist-University,Missouri,Midwest,910,1130,20,26,3.46,90%
Southeast-Missouri-State-University,Missouri,Midwest,990,1250,20,25,3.3,84%
University-of-Central-Missouri,Missouri,Midwest,-1,-1,19,24,3.27,79%
Missouri-Baptist-University,Missouri,Midwest,830,1030,18,23,-1,57%
Fontbonne-University,Missouri,Midwest,-1,-1,20,25,-1,97%
Missouri-Southern-State-University,Missouri,Midwest,-1,-1,19,25,3.2,94%
Calvary-Bible-College-and-Theological-Seminary,Missouri,Midwest,1040,1180,19,24,-1,94%
Midwestern-Baptist-Theological-Seminary,Missouri,Midwest,1080,1200,17,24,-1,97%
Cox-College,Missouri,Midwest,-1,-1,-1,-1,-1,59%
Hannibal-LaGrange-University,Missouri,Midwest,-1,-1,-1,-1,-1,59%
Missouri-Valley-College,Missouri,Midwest,-1,-1,-1,-1,-1,46%
Park-University,Missouri,Midwest,-1,-1,-1,-1,-1,40%
Messenger-College,Missouri,Midwest,-1,-1,-1,-1,-1,44%
Carroll-College,Montana,West,1050,1270,22,27,3.54,64%
Montana-State-University,Montana,West,1100,1330,21,28,3.3,83%
Rocky-Mountain-College,Montana,West,990,1170,20,25,3.29,70%
The-University-of-Montana,Montana,West,1060,1280,20,27,-1,91%
Montana-Tech-of-the-University-of-Montana,Montana,West,1100,1290,23,27,3.49,89%
University-of-Great-Falls,Montana,West,-1,-1,-1,-1,3.2,60%
Nebraska-Methodist-College-of-Nursing-&-Allied-Health,Nebraska,Midwest,-1,-1,22,26,3.41,34%
Creighton-University,Nebraska,Midwest,1140,1350,24,29,3.75,70%
University-of-Nebraska-Lincoln,Nebraska,Midwest,1080,1350,22,28,-1,76%
Clarkson-College,Nebraska,Midwest,-1,-1,21,24,-1,52%
Nebraska-Wesleyan-University,Nebraska,Midwest,1020,1260,22,27,-1,79%
Hastings-College,Nebraska,Midwest,940,1080,20,26,3.44,71%
Doane-University,Nebraska,Midwest,960,1120,20,26,3.5,77%
Union-College,Nebraska,Midwest,760,930,19,26,3.3,56%
Concordia-University-Seward,Nebraska,Midwest,980,1190,20,27,3.6,78%
Grace-University,Nebraska,Midwest,850,1240,19,24,-1,59%
University-of-Nebraska-at-Omaha,Nebraska,Midwest,970,1280,19,26,3.4,76%
University-of-Nebraska-at-Kearney,Nebraska,Midwest,940,1140,20,25,3.39,85%
Midland-University,Nebraska,Midwest,900,1070,18,23,-1,61%
York-College,Nebraska,Midwest,400,530,18,22,-1,44%
BryanLGH-College-of-Health-Sciences,Nebraska,Midwest,-1,-1,22,25,-1,86%
Sierra-Nevada-College,Nevada,West,950,1170,18,27,2.98,66%
University-of-Nevada-Reno,Nevada,West,1050,1260,21,26,3.37,79%
University-of-Nevada-Las-Vegas,Nevada,West,970,1180,18,25,3.25,88%
Nevada-State-College,Nevada,West,-1,-1,-1,-1,-1,65%
Dartmouth-College,New-Hampshire,Northeast,1410,1580,30,34,-1,11%
University-of-New-Hampshire-Main-Campus,New-Hampshire,Northeast,1080,1280,22,27,-1,79%
University-of-New-Hampshire-at-Manchester,New-Hampshire,Northeast,1000,1170,-1,-1,-1,73%
Keene-State-College,New-Hampshire,Northeast,970,1170,19,24,-1,79%
Franklin-Pierce-University,New-Hampshire,Northeast,910,1120,19,23,-1,80%
Colby-Sawyer-College,New-Hampshire,Northeast,-1,-1,-1,-1,3.22,90%
Northeast-Catholic-College,New-Hampshire,Northeast,-1,-1,-1,-1,-1,98%
New-England-College,New-Hampshire,Northeast,-1,-1,-1,-1,2.66,98%
Southern-New-Hampshire-University,New-Hampshire,Northeast,-1,-1,-1,-1,3,92%
Plymouth-State-University,New-Hampshire,Northeast,-1,-1,-1,-1,2.89,74%
Rivier-College,New-Hampshire,Northeast,-1,-1,-1,-1,2.87,57%
Saint-Anselm-College,New-Hampshire,Northeast,-1,-1,-1,-1,3.22,73%
Thomas-More-College-of-Liberal-Arts,New-Hampshire,Northeast,-1,-1,-1,-1,-1,97%
Princeton-University,New-Jersey,Northeast,1460,1600,32,35,3.87,7%
Stevens-Institute-of-Technology,New-Jersey,Northeast,1310,1470,29,32,-1,44%
The-College-of-New-Jersey,New-Jersey,Northeast,1200,1390,26,30,-1,49%
Rutgers-University-New-Brunswick,New-Jersey,Northeast,1190,1430,-1,-1,-1,58%
Ramapo-College-of-New-Jersey,New-Jersey,Northeast,1070,1270,20,26,3.27,53%
New-Jersey-Institute-of-Technology,New-Jersey,Northeast,1180,1390,23,29,-1,61%
The-Richard-Stockton-College-of-New-Jersey,New-Jersey,Northeast,1060,1250,19,25,-1,64%
Rowan-University,New-Jersey,Northeast,1020,1260,-1,-1,-1,71%
Rutgers-University-Camden,New-Jersey,Northeast,1010,1200,-1,-1,-1,58%
Rutgers-University-Newark,New-Jersey,Northeast,1020,1210,-1,-1,-1,65%
Seton-Hall-University,New-Jersey,Northeast,1130,1300,23,27,-1,76%
Rider-University,New-Jersey,Northeast,1000,1180,19,25,3.3,69%
Monmouth-University,New-Jersey,Northeast,1020,1190,20,25,3.4,74%
Caldwell-College,New-Jersey,Northeast,940,1160,18,24,3.47,64%
Fairleigh-Dickinson-University-College-at-Florham,New-Jersey,Northeast,1000,1210,20,25,3.1,83%
Georgian-Court-University,New-Jersey,Northeast,920,1140,-1,-1,-1,73%
Saint-Peter's-College,New-Jersey,Northeast,920,1100,16,21,3.06,67%
William-Paterson-University-of-New-Jersey,New-Jersey,Northeast,980,1150,-1,-1,3.14,74%
Centenary-College,New-Jersey,Northeast,910,1110,17,24,-1,87%
Fairleigh-Dickinson-University-Metropolitan-Campus,New-Jersey,Northeast,980,1170,18,23,3.2,80%
Kean-University,New-Jersey,Northeast,920,1100,17,21,3,74%
Bloomfield-College,New-Jersey,Northeast,860,1030,15,19,2.6,60%
Felician-College,New-Jersey,Northeast,870,1050,15,21,2.9,79%
New-Jersey-City-University,New-Jersey,Northeast,850,1050,-1,-1,-1,87%
Drew-University,New-Jersey,Northeast,-1,-1,-1,-1,3.32,70%
Montclair-State-University,New-Jersey,Northeast,-1,-1,-1,-1,3.2,70%
New-Mexico-Institute-of-Mining-and-Technology,New-Mexico,West,1160,1390,23,29,3.68,24%
University-of-New-Mexico-Main-Campus,New-Mexico,West,1030,1280,19,25,3.3,58%
New-Mexico-State-University-Main-Campus,New-Mexico,West,920,1150,18,24,-1,66%
Eastern-New-Mexico-University-Main-Campus,New-Mexico,West,900,1120,17,23,3.21,50%
St-John's-College,New-Mexico,West,-1,-1,-1,-1,-1,81%
Columbia-University-in-the-City-of-New-York,New-York,Northeast,1450,1590,31,35,-1,7%
Cornell-University,New-York,Northeast,1390,1550,30,34,-1,15%
Colgate-University,New-York,Northeast,1310,1490,30,33,3.64,27%
Vassar-College,New-York,Northeast,1400,1530,30,33,3.8,26%
Northeast-University,New-York,Northeast,1330,1520,29,32,3.6,32%
United-States-Military-Academy,New-York,Northeast,1260,1450,26,31,-1,10%
Rensselaer-Polytechnic-Institute,New-York,Northeast,1340,1520,28,32,3.81,42%
Skidmore-College,New-York,Northeast,1190,1410,26,30,-1,36%
Jewish-Theological-Seminary-of-America,New-York,Northeast,1360,1490,28,32,-1,52%
SUNY-at-Binghamton,New-York,Northeast,1300,1440,27,31,3.6,42%
Fordham-University,New-York,Northeast,1250,1420,27,31,3.59,48%
Stony-Brook-University,New-York,Northeast,1220,1450,26,31,3.8,41%
Syracuse-University,New-York,Northeast,1170,1370,24,29,3.6,48%
CUNY-Bernard-M-Baruch-College,New-York,Northeast,1210,1380,-1,-1,-1,32%
Northeast-School-of-Interior-Design,New-York,Northeast,1060,1250,-1,-1,3.39,42%
State-University-of-Northeast-at-New-Paltz,New-York,Northeast,1110,1280,23,27,-1,42%
SUNY-College-of-Environmental-Science-and-Forestry,New-York,Northeast,1190,1360,25,29,3.8,52%
Rochester-Institute-of-Technology,New-York,Northeast,1190,1400,26,31,3.6,57%
University-at-Buffalo,New-York,Northeast,1130,1320,24,29,3.2,60%
The-King?s-College,New-York,Northeast,1150,1310,24,29,-1,40%
SUNY-at-Purchase-College,New-York,Northeast,1040,1250,22,27,3.2,41%
Clarkson-University,New-York,Northeast,1140,1360,24,30,3.56,68%
Pratt-Institute-Main,New-York,Northeast,980,1310,23,28,3.63,57%
CUNY-Hunter-College,New-York,Northeast,1140,1320,-1,-1,3.1,39%
CUNY-Queens-College,New-York,Northeast,1100,1270,-1,-1,3.6,40%
SUNY-College-at-Oneonta,New-York,Northeast,1080,1240,22,25,3.6,49%
Albany-College-of-Pharmacy-and-Health-Sciences,New-York,Northeast,1140,1340,24,28,3.7,66%
SUNY-at-Geneseo,New-York,Northeast,1170,1350,25,29,3.6,73%
SUNY-College-at-Plattsburgh,New-York,Northeast,1060,1270,21,25,3.22,50%
CUNY-Brooklyn-College,New-York,Northeast,1100,1280,-1,-1,-1,37%
SUNY-at-Albany,New-York,Northeast,1080,1240,22,26,3.5,56%
Manhattan-College,New-York,Northeast,1070,1270,22,27,3.56,67%
Polytechnic-Institute-of-Northeast-University,New-York,Northeast,1270,1460,28,32,-1,67%
Saint-John-Fisher-College,New-York,Northeast,1080,1240,21,26,3.5,62%
SUNY-College-at-Oswego,New-York,Northeast,1090,1260,22,26,3.5,51%
Yeshiva-University,New-York,Northeast,1190,1420,24,29,3.51,80%
SUNY-College-at-Brockport,New-York,Northeast,1010,1190,20,25,3.06,53%
SUNY-at-Fredonia,New-York,Northeast,1000,1230,21,26,3.3,59%
Alfred-University,New-York,Northeast,1000,1210,21,28,3.18,68%
CUNY-City-College,New-York,Northeast,1080,1310,-1,-1,-1,43%
Le-Moyne-College,New-York,Northeast,1060,1240,21,25,3.42,62%
SUNY-College-of-Technology-at-Alfred,New-York,Northeast,980,1220,18,24,-1,57%
SUNY-Institute-of-Technology-at-Utica-Rome,New-York,Northeast,1040,1370,23,28,-1,60%
Saint-Bonaventure-University,New-York,Northeast,1010,1230,21,27,3.3,66%
St-John's-University-New-York,New-York,Northeast,1040,1250,22,27,3.4,65%
Adelphi-University,New-York,Northeast,1100,1300,19,25,3.5,72%
Roberts-Wesleyan-College,New-York,Northeast,1020,1250,20,26,3.39,66%
Wells-College,New-York,Northeast,980,1170,21,25,3.5,63%
Houghton-College,New-York,Northeast,1030,1310,21,29,3.53,95%
CUNY-Lehman-College,New-York,Northeast,1020,1180,-1,-1,-1,30%
Molloy-College,New-York,Northeast,1050,1220,21,26,3,76%
Canisius-College,New-York,Northeast,1030,1250,21,27,3.6,87%
Saint-Joseph's-College-New-York,New-York,Northeast,1000,1180,19,24,3.25,68%
Northeast-Institute-of-Technology,New-York,Northeast,1040,1250,21,26,3.5,68%
SUNY-Maritime-College,New-York,Northeast,1100,1260,22,26,-1,68%
Farmingdale-State-College,New-York,Northeast,990,1150,19,23,3.3,44%
CUNY-John-Jay-College-of-Criminal-Justice,New-York,Northeast,970,1130,-1,-1,2.72,37%
Niagara-University,New-York,Northeast,1010,1200,20,25,3.4,85%
Pace-University-New-York,New-York,Northeast,1020,1230,21,26,3.3,84%
SUNY-College-at-Old-Westbury,New-York,Northeast,990,1150,-1,-1,3.1,50%
D'Youville-College,New-York,Northeast,1000,1180,21,25,-1,73%
Iona-College,New-York,Northeast,970,1170,20,25,3,91%
Medaille-College,New-York,Northeast,830,1060,15,23,-1,69%
SUNY-College-at-Buffalo,New-York,Northeast,880,1080,16,22,3.2,62%
Marymount-Manhattan-College,New-York,Northeast,1010,1210,20,26,-1,84%
Saint-Thomas-Aquinas-College,New-York,Northeast,920,1130,18,22,-1,79%
CUNY-York-College,New-York,Northeast,880,1050,-1,-1,-1,40%
Mount-Saint-Mary-College,New-York,Northeast,960,1130,20,24,3.1,90%
Long-Island-University-C-W-Post-Campus,New-York,Northeast,1000,1190,19,24,2.9,81%
Concordia-College-New-York,New-York,Northeast,880,1080,-1,-1,-1,71%
Morrisville-State-College,New-York,Northeast,810,1060,17,21,-1,58%
College-of-Mount-Saint-Vincent,New-York,Northeast,900,1070,18,22,3.3,86%
St.-Francis-College,New-York,Northeast,900,1090,17,22,-1,79%
Dominican-College-of-Blauvelt,New-York,Northeast,870,1060,17,21,2.83,71%
The-College-of-New-Rochelle,New-York,Northeast,950,1100,20,23,-1,73%
SUNY-College-of-Agriculture-and-Technology-at-Cobleskill,New-York,Northeast,840,1080,16,22,-1,73%
Nyack-College,New-York,Northeast,860,1110,16,22,2.74,99%
Vaughn-College-of-Aeronautics-and-Technology,New-York,Northeast,-1,-1,-1,-1,-1,74%
American-Musical-and-Dramatic-Academy,New-York,Northeast,-1,-1,-1,-1,-1,22%
Bard-College,New-York,Northeast,-1,-1,-1,-1,3.5,32%
Cazenovia-College,New-York,Northeast,-1,-1,-1,-1,3.22,81%
Metropolitan-College-of-New-York,New-York,Northeast,-1,-1,-1,-1,-1,53%
Culinary-Institute-of-America,New-York,Northeast,-1,-1,-1,-1,3.1,92%
CUNY-College-of-Staten-Island,New-York,Northeast,-1,-1,-1,-1,2.98,98%
CUNY-Medgar-Evers-College,New-York,Northeast,-1,-1,-1,-1,-1,99%
CUNY-Northeast-City-College-of-Technology,New-York,Northeast,-1,-1,-1,-1,-1,74%
Daemen-College,New-York,Northeast,-1,-1,-1,-1,3.62,51%
Elmira-College,New-York,Northeast,-1,-1,-1,-1,3.24,76%
Fashion-Institute-of-Technology,New-York,Northeast,-1,-1,-1,-1,-1,41%
Hamilton-College,New-York,Northeast,-1,-1,-1,-1,-1,25%
Hartwick-College,New-York,Northeast,-1,-1,-1,-1,3.2,81%
Hilbert-College,New-York,Northeast,-1,-1,-1,-1,3.1,82%
Hobart-William-Smith-Colleges,New-York,Northeast,-1,-1,-1,-1,3.32,56%
Hofstra-University,New-York,Northeast,-1,-1,-1,-1,3.51,61%
Ithaca-College,New-York,Northeast,-1,-1,-1,-1,-1,67%
The-Juilliard-School,New-York,Northeast,-1,-1,-1,-1,-1,6%
Keuka-College,New-York,Northeast,-1,-1,-1,-1,3.1,77%
Long-Island-University-Brooklyn-Campus,New-York,Northeast,-1,-1,-1,-1,2.9,91%
Manhattan-School-of-Music,New-York,Northeast,-1,-1,-1,-1,-1,46%
Manhattanville-College,New-York,Northeast,-1,-1,-1,-1,3,74%
Maria-College-of-Albany,New-York,Northeast,-1,-1,-1,-1,-1,46%
Marist-College,New-York,Northeast,-1,-1,-1,-1,3.3,45%
Mercy-College,New-York,Northeast,-1,-1,-1,-1,2.9,66%
Nazareth-College,New-York,Northeast,-1,-1,-1,-1,-1,76%
The-New-School,New-York,Northeast,-1,-1,-1,-1,-1,67%
Paul-Smiths-College-of-Arts-and-Science,New-York,Northeast,-1,-1,-1,-1,-1,69%
Davis-College,New-York,Northeast,-1,-1,-1,-1,-1,43%
University-of-Rochester,New-York,Northeast,-1,-1,-1,-1,3.8,34%
The-Sage-Colleges,New-York,Northeast,-1,-1,-1,-1,3.2,54%
St-Lawrence-University,New-York,Northeast,-1,-1,-1,-1,3.49,46%
The-College-of-Saint-Rose,New-York,Northeast,-1,-1,-1,-1,3.5,82%
Sarah-Lawrence-College,New-York,Northeast,-1,-1,-1,-1,3.6,53%
Siena-College,New-York,Northeast,-1,-1,-1,-1,3.5,76%
SUNY-College-of-Technology-at-Canton,New-York,Northeast,-1,-1,-1,-1,-1,85%
SUNY-College-of-Technology-at-Delhi,New-York,Northeast,-1,-1,-1,-1,-1,54%
SUNY-College-at-Cortland,New-York,Northeast,-1,-1,-1,-1,-1,51%
SUNY-College-at-Potsdam,New-York,Northeast,-1,-1,-1,-1,3.2,74%
Touro-College,New-York,Northeast,-1,-1,-1,-1,3.5,34%
Trocaire-College,New-York,Northeast,-1,-1,-1,-1,-1,50%
Union-College,New-York,Northeast,-1,-1,-1,-1,3.5,38%
Utica-College,New-York,Northeast,-1,-1,-1,-1,2.94,83%
Villa-Maria-College,New-York,Northeast,-1,-1,-1,-1,-1,85%
Wagner-College,New-York,Northeast,-1,-1,-1,-1,3.6,68%
Northeast-College-of-Health-Professions,New-York,Northeast,-1,-1,-1,-1,-1,79%
Duke-University,North-Carolina,South,1440,1580,31,34,-1,11%
Davidson-College,North-Carolina,South,1320,1500,29,32,3.9,22%
University-of-South--at-Chapel-Hill,North-Carolina,South,1290,1490,28,33,4.6,31%
South--State-University-at-Raleigh,North-Carolina,South,1220,1400,26,31,4.37,50%
Elon-University,North-Carolina,South,1190,1360,25,29,3.99,57%
University-of-South--School-of-the-Arts,North-Carolina,South,1060,1290,21,27,3.67,34%
University-of-South--at-Wilmington,North-Carolina,South,1180,1330,23,27,4.06,61%
Appalachian-State-University,North-Carolina,South,1130,1300,23,28,4.05,66%
Piedmont-International-University,North-Carolina,South,750,1220,15,23,-1,24%
Catawba-College,North-Carolina,South,950,1170,18,24,2.36,32%
Western-Carolina-University,North-Carolina,South,1010,1190,20,24,3.67,40%
Queens-University-of-Charlotte,North-Carolina,South,1020,1220,21,26,3.57,67%
University-of-South--at-Charlotte,North-Carolina,South,1080,1250,22,25,3.82,63%
University-of-South--at-Asheville,North-Carolina,South,1130,1310,23,28,3.98,79%
University-of-South--at-Greensboro,North-Carolina,South,1020,1180,20,25,3.64,59%
Gardner-Webb-University,North-Carolina,South,930,1160,18,24,3.72,53%
East-Carolina-University,North-Carolina,South,1050,1200,21,24,3.59,69%
Barton-College,North-Carolina,South,930,1130,18,23,3.07,42%
Wingate-University,North-Carolina,South,1010,1200,20,25,3.34,70%
Laurel-University,North-Carolina,South,890,1010,17,25,-1,77%
Pfeiffer-University,North-Carolina,South,880,1130,17,22,3.5,47%
Mid-Atlantic-Christian-University,North-Carolina,South,870,1170,16,23,2.91,42%
Warren-Wilson-College,North-Carolina,South,1070,1310,21,28,3.5,84%
Belmont-Abbey-College,North-Carolina,South,980,1200,19,25,3.13,68%
Campbell-University,North-Carolina,South,990,1180,19,24,-1,73%
Methodist-University,North-Carolina,South,910,1150,17,23,3.24,56%
Mount-Olive-College,North-Carolina,South,880,1100,17,21,-1,51%
Montreat-College,North-Carolina,South,930,1130,18,23,3.13,54%
St.-Andrews-University,North-Carolina,South,890,1090,17,22,3.34,57%
William-Peace-University,North-Carolina,South,850,1060,15,21,3.07,50%
Johnson-C-Smith-University,North-Carolina,South,790,960,15,18,2.97,46%
Mars-Hill-University,North-Carolina,South,890,1070,17,22,3.23,61%
Lenoir-Rhyne-University,North-Carolina,South,970,1180,-1,-1,3.7,84%
South--A-&-T-State-University,North-Carolina,South,910,1070,17,21,2.68,60%
South--Wesleyan-College,North-Carolina,South,850,1050,16,22,-1,55%
Winston-Salem-State-University,North-Carolina,South,880,1010,17,19,3.15,59%
Fayetteville-State-University,North-Carolina,South,860,1010,17,20,2.95,60%
Elizabeth-City-State-University,North-Carolina,South,840,1000,17,19,4,70%
South--Central-University,North-Carolina,South,890,1030,17,20,3.1,66%
Chowan-University,North-Carolina,South,780,940,14,17,2.64,62%
Saint-Augustines-College,North-Carolina,South,720,930,13,17,2.37,58%
Greensboro-College,North-Carolina,South,880,1090,16,20,-1,75%
University-of-South--at-Pembroke,North-Carolina,South,910,1070,18,22,3.29,74%
Cabarrus-College-of-Health-Sciences,North-Carolina,South,950,1100,19,22,-1,94%
Brevard-College,North-Carolina,South,-1,-1,-1,-1,2.97,41%
Guilford-College,North-Carolina,South,-1,-1,-1,-1,3.16,63%
Lees-McRae-College,North-Carolina,South,-1,-1,-1,-1,3.14,67%
Livingstone-College,North-Carolina,South,720,890,12,16,-1,71%
Shaw-University,North-Carolina,South,-1,-1,-1,-1,2.36,60%
Wake-Forest-University,North-Carolina,South,-1,-1,-1,-1,-1,29%
Johnson-&-Wales-University-Charlotte,North-Carolina,South,-1,-1,-1,-1,3.15,72%
Grace-College-of-Divinity,North-Carolina,South,-1,-1,-1,-1,-1,53%
Jamestown-College,North-Dakota,Midwest,840,1230,18,28,3.2,65%
University-of-North-Dakota,North-Dakota,Midwest,1010,1250,21,26,-1,82%
Minot-State-University,North-Dakota,Midwest,940,1110,19,24,3.31,57%
North-Dakota-State-University-Main-Campus,North-Dakota,Midwest,1060,1280,21,26,3.41,94%
University-of-Mary,North-Dakota,Midwest,1000,1250,20,26,-1,96%
Trinity-Bible-College,North-Dakota,Midwest,950,990,17,22,-1,42%
Valley-City-State-University,North-Dakota,Midwest,810,1030,18,23,3.15,86%
Dickinson-State-University,North-Dakota,Midwest,910,1150,18,22,-1,93%
Kenyon-College,Ohio,Midwest,1310,1470,28,32,3.9,26%
Oberlin-College,Ohio,Midwest,1320,1500,29,32,3.57,29%
Case-Western-Reserve-University,Ohio,Midwest,1380,1530,30,33,-1,36%
Ohio-State-University,Ohio,Midwest,1250,1460,27,31,-1,49%
The-College-of-Wooster,Ohio,Midwest,1180,1410,25,30,3.66,55%
University-of-Dayton,Ohio,Midwest,1120,1320,24,29,3.64,58%
Miami-University,Ohio,Midwest,1210,1400,26,30,3.63,65%
Hiram-College,Ohio,Midwest,960,1240,20,27,-1,58%
Ohio-Northern-University,Ohio,Midwest,1110,1310,23,28,3.7,69%
Cedarville-University,Ohio,Midwest,1140,1350,23,28,3.64,74%
Xavier-University,Ohio,Midwest,1060,1260,22,27,3.62,72%
Cleveland-Institute-of-Art,Ohio,Midwest,1030,1260,20,27,-1,65%
Bluffton-University,Ohio,Midwest,930,1200,18,23,3.23,54%
Capital-University,Ohio,Midwest,1040,1250,22,28,3.44,72%
Franciscan-University-of-Steubenville,Ohio,Midwest,1130,1330,23,28,3.69,79%
John-Carroll-University,Ohio,Midwest,1070,1270,22,28,3.53,82%
Ohio-University-Main-Campus,Ohio,Midwest,1070,1280,22,26,3.42,74%
Otterbein-University,Ohio,Midwest,1050,1290,22,27,3.5,75%
University-of-Mount-Union,Ohio,Midwest,980,1200,21,26,3.23,75%
Marietta-College,Ohio,Midwest,1030,1290,21,27,3.41,72%
University-of-Cincinnati-Main-Campus,Ohio,Midwest,1120,1370,23,28,3.46,86%
